TuLan0a,0,55,,,1,,"9:00 am - 1:30 pm, 6:00 pm - 11:30 pm","9:00 am - 1:30 pm, 6:00 pm - 11:30 pm","9:00 am - 1:30 pm, 6:00 pm - 11:30 pm","9:00 am - 1:30 pm, 6:00 pm - 11:30 pm","9:00 am - 1:30 pm, 6:00 pm - 11:30 pm",7:00 am - 10:30 pm,7:00 am - 10:30 pm
TuLan1a,2,65,,,1,1,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm
TuLan2a,2,82,,1,,1,"7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm"
TuLan3a,1,71,,1,,,"7:00 am - 2:00 pm, 4:00 pm - 10:00 pm","7:00 am - 2:00 pm, 4:00 pm - 10:00 pm","7:00 am - 2:00 pm, 4:00 pm - 10:00 pm","7:00 am - 2:00 pm, 4:00 pm - 10:00 pm","7:00 am - 2:00 pm, 4:00 pm - 10:00 pm",7:30 am - 11:00 pm,7:30 am - 11:00 pm
TuLan4a,1,52,,,1,1,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,10:00 am - 11:00 pm,8:00 am - 11:30 pm,8:00 am - 11:30 pm
TuLan5a,1,75,,1,1,1,"7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm","7:30 am - 1:30 pm, 4:00 pm - 10:00 pm"
TuLan6a,1,93,1,1,1,1,8:00 am - 11:30 pm,8:00 am - 11:30 pm,8:00 am - 11:30 pm,8:00 am - 11:30 pm,8:00 am - 11:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm
TuLan7a,1,57,,,,1,"8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm","8:00 am - 2:00 pm, 6:00 pm - 10:30 pm"
TuLan8a,0,72,,,,1,"9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm","9:00 am - 2:30 pm, 5:30 pm - 11:00 pm"
TuLan9a,1,71,,,,,"10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm","10:00 am - 1:30 pm, 6:00 pm - 10:00 pm"
TuLan10a,2,89,,,,1,"7:30 am - 1:30 pm, 4:00 pm - 11:00 pm","7:30 am - 1:30 pm, 4:00 pm - 11:00 pm","7:30 am - 1:30 pm, 4:00 pm - 11:00 pm","7:30 am - 1:30 pm, 4:00 pm - 11:00 pm","7:30 am - 1:30 pm, 4:00 pm - 11:00 pm",7:00 am - 10:30 pm,7:00 am - 10:30 pm
TuLan11a,2,98,,1,1,,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm,7:00 am - 10:00 pm
TuLan12a,1,52,,,1,,7:30 am - 11:00 pm,7:30 am - 11:00 pm,7:30 am - 11:00 pm,7:30 am - 11:00 pm,7:30 am - 11:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm
TuLan13a,1,74,,1,,1,"9:00 am - 2:00 pm, 4:30 pm - 10:30 pm","9:00 am - 2:00 pm, 4:30 pm - 10:30 pm","9:00 am - 2:00 pm, 4:30 pm - 10:30 pm","9:00 am - 2:00 pm, 4:30 pm - 10:30 pm","9:00 am - 2:00 pm, 4:30 pm - 10:30 pm",9:00 am - 11:30 pm,9:00 am - 11:30 pm
TuLan14a,1,82,,1,,,"9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm","9:00 am - 2:00 pm, 6:00 pm - 11:00 pm"
TuLan15a,2,50,1,1,,,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm
TuLan16a,2,86,,1,,,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm
TuLan17a,1,69,,,,,"9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm","9:30 am - 1:30 pm, 5:30 pm - 10:30 pm"
TuLan18a,0,55,,1,,,7:30 am - 11:30 pm,7:30 am - 11:30 pm,7:30 am - 11:30 pm,7:30 am - 11:30 pm,7:30 am - 11:30 pm,9:30 am - 11:30 pm,9:30 am - 11:30 pm
TuLan19a,1,78,1,1,1,,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm,8:00 am - 10:30 pm,8:00 am - 10:30 pm
TuLan20a,2,62,,,1,1,"10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm","10:00 am - 2:00 pm, 5:30 pm - 11:00 pm"
TuLan21a,2,87,,1,1,1,"7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm","7:00 am - 1:30 pm, 4:00 pm - 11:00 pm"
TuLan22a,0,67,,,,1,9:30 am - 10:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm,9:30 am - 10:00 pm
TuLan23a,0,95,,1,1,,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm,8:00 am - 11:00 pm
TuLan24a,3,79,,1,,1,"7:00 am - 2:30 pm, 4:00 pm - 11:30 pm","7:00 am - 2:30 pm, 4:00 pm - 11:30 pm","7:00 am - 2:30 pm, 4:00 pm - 11:30 pm","7:00 am - 2:30 pm, 4:00 pm - 11:30 pm","7:00 am - 2:30 pm, 4:00 pm - 11:30 pm",7:00 am - 10:30 pm,7:00 am - 10:30 pm
TuLan25a,1,84,1,1,,,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:30 am - 11:00 pm,9:30 am - 11:00 pm
TuLan26a,3,80,,,,1,8:30 am - 11:00 pm,8:30 am - 11:00 pm,8:30 am - 11:00 pm,8:30 am - 11:00 pm,8:30 am - 11:00 pm,7:30 am - 10:00 pm,7:30 am - 10:00 pm
TuLan27a,1,54,1,,,1,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm
TuLan28a,0,70,,1,1,,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,9:00 am - 10:00 pm,7:00 am - 11:30 pm,7:00 am - 11:30 pm
TuLan29a,0,53,1,1,1,,"10:00 am - 2:00 pm, 6:00 pm - 11:00 pm","10:00 am - 2:00 pm, 6:00 pm - 11:00 pm","10:00 am - 2:00 pm, 6:00 pm - 11:00 pm","10:00 am - 2:00 pm, 6:00 pm - 11:00 pm","10:00 am - 2:00 pm, 6:00 pm - 11:00 pm",8:00 am - 10:00 pm,8:00 am - 10:00 pm
TuLan30a,2,86,,1,1,1,"7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm","7:30 am - 2:30 pm, 4:00 pm - 11:00 pm"
TuLan31a,2,58,1,,,1,"10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm","10:00 am - 2:00 pm, 4:30 pm - 11:00 pm"
TuLan32a,0,55,,1,1,,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm,10:00 am - 10:30 pm
TuLan33a,0,51,,,,,8:30 am - 10:00 pm,8:30 am - 10:00 pm,8:30 am - 10:00 pm,8:30 am - 10:00 pm,8:30 am - 10:00 pm,8:30 am - 10:00 pm,8:30 am - 10:00 pm
TuLan34a,0,96,1,,1,1,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,7:00 am - 11:00 pm,9:00 am - 11:00 pm,9:00 am - 11:00 pm
TuLan35a,2,66,,1,1,1,"9:00 am - 2:30 pm, 5:30 pm - 11:30 pm","9:00 am - 2:30 pm, 5:30 pm - 11:30 pm","9:00 am - 2:30 pm, 5:30 pm - 11:30 pm","9:00 am - 2:30 pm, 5:30 pm - 11:30 pm","9:00 am - 2:30 pm, 5:30 pm - 11:30 pm",9:00 am - 10:30 pm,9:00 am - 10:30 pm
TuLan36a,1,79,,,1,,"7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm","7:00 am - 1:30 pm, 6:00 pm - 10:30 pm"
TuLan37a,0,70,1,1,,1,"7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm","7:00 am - 2:30 pm, 6:00 pm - 11:30 pm"
TuLan38a,2,80,,,1,1,"7:30 am - 2:00 pm, 5:30 pm - 10:30 pm","7:30 am - 2:00 pm, 5:30 pm - 10:30 pm","7:30 am - 2:00 pm, 5:30 pm - 10:30 pm","7:30 am - 2:00 pm, 5:30 pm - 10:30 pm","7:30 am - 2:00 pm, 5:30 pm - 10:30 pm",9:30 am - 11:30 pm,9:30 am - 11:30 pm
TuLan39a,0,83,,1,,1,"7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm","7:00 am - 1:30 pm, 4:00 pm - 10:30 pm"
